year,host_country,host_city,country_name,country_code,gold,silver,bronze
1896,Greece,Athens,Germany,GER,6,5,2
1900,France,Paris,Germany,GER,4,3,2
1904,United States,St. Louis,Germany,GER,4,5,6
1908,Great Britain,London,Germany,GER,3,5,5
1912,Sweden,Stockholm,Germany,GER,6,13,7
1928,Netherlands,Amsterdam,Germany,GER,10,7,14
1932,United States,Los Angeles,Germany,GER,3,12,5
1936,Germany,Berlin,Germany,GER,33,26,30
1952,Finland,Helsinki,Germany,GER,0,7,17
1992,Spain,Barcelona,Germany,GER,33,21,28
1996,United States,Atlanta,Germany,GER,20,18,27
2000,Australia,Sydney,Germany,GER,13,17,26
2004,Greece,Athens,Germany,GER,13,16,20
2008,China,Beijing,Germany,GER,16,11,14
2012,Great Britain,London,Germany,GER,11,20,13
2020,Japan,Tokyo,Germany,GER,10,11,16
